dtime,all_power_plan,a_test_power_plan,b_test_power_plan
2022-5-1 0:00:00,5000,0,0
2022-5-1 0:05:00,5000,0,0
2022-5-1 0:10:00,5000,0,0
2022-5-1 0:15:00,5000,0,0
2022-5-1 0:20:00,5000,0,0
2022-5-1 0:25:00,5000,0,0
2022-5-1 0:30:00,5000,0,0
2022-5-1 0:35:00,5000,0,0
2022-5-1 0:40:00,5000,0,0
2022-5-1 0:45:00,5000,0,0
2022-5-1 0:50:00,5000,0,0
2022-5-1 0:55:00,5000,0,0
2022-5-1 1:00:00,5000,0,0
2022-5-1 1:05:00,5000,0,0
2022-5-1 1:10:00,5000,0,0
2022-5-1 1:15:00,5000,0,0
2022-5-1 1:20:00,5000,0,0
2022-5-1 1:25:00,5000,0,0
2022-5-1 1:30:00,5000,0,0
2022-5-1 1:35:00,5000,0,0
2022-5-1 1:40:00,5000,0,0
2022-5-1 1:45:00,5000,0,0
2022-5-1 1:50:00,5000,0,0
2022-5-1 1:55:00,5000,0,0
2022-5-1 2:00:00,5000,0,0
2022-5-1 2:05:00,5000,0,0
2022-5-1 2:10:00,5000,0,0
2022-5-1 2:15:00,5000,0,0
2022-5-1 2:20:00,5000,0,0
2022-5-1 2:25:00,5000,0,0
2022-5-1 2:30:00,5000,0,0
2022-5-1 2:35:00,5000,0,0
2022-5-1 2:40:00,5000,0,0
2022-5-1 2:45:00,5000,0,0
2022-5-1 2:50:00,5000,0,0
2022-5-1 2:55:00,5000,0,0
2022-5-1 3:00:00,5000,0,0
2022-5-1 3:05:00,5000,0,0
2022-5-1 3:10:00,5000,0,0
2022-5-1 3:15:00,5000,0,0
2022-5-1 3:20:00,5000,0,0
2022-5-1 3:25:00,5000,0,0
2022-5-1 3:30:00,5000,0,0
2022-5-1 3:35:00,5000,0,0
2022-5-1 3:40:00,5000,0,0
2022-5-1 3:45:00,5000,0,0
2022-5-1 3:50:00,5000,0,0
2022-5-1 3:55:00,5000,0,0
2022-5-1 4:00:00,5000,0,0
2022-5-1 4:05:00,5000,0,0
2022-5-1 4:10:00,5000,0,0
2022-5-1 4:15:00,5000,0,0
2022-5-1 4:20:00,5000,0,0
2022-5-1 4:25:00,5000,0,0
2022-5-1 4:30:00,5000,0,0
2022-5-1 4:35:00,5000,0,0
2022-5-1 4:40:00,5000,0,0
2022-5-1 4:45:00,5000,0,0
2022-5-1 4:50:00,5000,0,0
2022-5-1 4:55:00,5000,0,0
2022-5-1 5:00:00,5000,0,0
2022-5-1 5:05:00,5000,0,0
2022-5-1 5:10:00,5000,0,0
2022-5-1 5:15:00,5000,0,0
2022-5-1 5:20:00,5000,0,0
2022-5-1 5:25:00,5000,0,0
2022-5-1 5:30:00,5000,0,0
2022-5-1 5:35:00,5000,0,0
2022-5-1 5:40:00,5000,0,0
2022-5-1 5:45:00,5000,0,0
2022-5-1 5:50:00,5000,0,0
2022-5-1 5:55:00,5000,0,0
2022-5-1 6:00:00,5000,0,0
2022-5-1 6:05:00,5000,0,0
2022-5-1 6:10:00,5000,0,0
2022-5-1 6:15:00,5000,0,0
2022-5-1 6:20:00,5000,0,0
2022-5-1 6:25:00,5000,0,0
2022-5-1 6:30:00,5000,0,0
2022-5-1 6:35:00,5000,0,0
2022-5-1 6:40:00,5000,0,0
2022-5-1 6:45:00,5000,0,0
2022-5-1 6:50:00,5000,0,0
2022-5-1 6:55:00,5000,0,0
2022-5-1 7:00:00,5000,0,0
2022-5-1 7:05:00,5000,0,0
2022-5-1 7:10:00,5000,0,0
2022-5-1 7:15:00,5000,0,0
2022-5-1 7:20:00,5000,0,0
2022-5-1 7:25:00,5000,0,0
2022-5-1 7:30:00,5000,0,0
2022-5-1 7:35:00,5000,0,0
2022-5-1 7:40:00,5000,0,0
2022-5-1 7:45:00,5000,0,0
2022-5-1 7:50:00,5000,0,0
2022-5-1 7:55:00,5000,0,0
2022-5-1 8:00:00,5000,0,0
2022-5-1 8:05:00,5000,0,0
2022-5-1 8:10:00,5000,0,0
2022-5-1 8:15:00,5000,0,0
2022-5-1 8:20:00,5000,0,0
2022-5-1 8:25:00,5000,0,0
2022-5-1 8:30:00,5000,0,0
2022-5-1 8:35:00,5000,0,0
2022-5-1 8:40:00,5000,0,0
2022-5-1 8:45:00,5000,0,0
2022-5-1 8:50:00,5000,0,0
2022-5-1 8:55:00,5000,0,0
2022-5-1 9:00:00,5000,0,0
2022-5-1 9:05:00,5000,0,0
2022-5-1 9:10:00,5000,0,0
2022-5-1 9:15:00,5000,0,0
2022-5-1 9:20:00,5000,0,0
2022-5-1 9:25:00,5000,0,0
2022-5-1 9:30:00,5000,0,0
2022-5-1 9:35:00,5000,0,0
2022-5-1 9:40:00,5000,0,0
2022-5-1 9:45:00,5000,0,0
2022-5-1 9:50:00,5000,0,0
2022-5-1 9:55:00,5000,0,0
2022-5-1 10:00:00,5000,0,0
2022-5-1 10:05:00,5000,0,0
2022-5-1 10:10:00,5000,0,0
2022-5-1 10:15:00,5000,0,0
2022-5-1 10:20:00,5000,0,0
2022-5-1 10:25:00,5000,0,0
2022-5-1 10:30:00,5000,0,0
2022-5-1 10:35:00,5000,0,0
2022-5-1 10:40:00,5000,0,0
2022-5-1 10:45:00,5000,0,0
2022-5-1 10:50:00,5000,0,0
2022-5-1 10:55:00,5000,0,0
2022-5-1 11:00:00,5000,0,0
2022-5-1 11:05:00,5000,0,0
2022-5-1 11:10:00,5000,0,0
2022-5-1 11:15:00,5000,0,0
2022-5-1 11:20:00,5000,0,0
2022-5-1 11:25:00,5000,0,0
2022-5-1 11:30:00,5000,0,0
2022-5-1 11:35:00,5000,0,0
2022-5-1 11:40:00,5000,0,0
2022-5-1 11:45:00,5000,0,0
2022-5-1 11:50:00,5000,0,0
2022-5-1 11:55:00,5000,0,0
2022-5-1 12:00:00,5000,0,0
2022-5-1 12:05:00,5000,0,0
2022-5-1 12:10:00,5000,0,0
2022-5-1 12:15:00,5000,0,0
2022-5-1 12:20:00,5000,0,0
2022-5-1 12:25:00,5000,0,0
2022-5-1 12:30:00,5000,0,0
2022-5-1 12:35:00,5000,0,0
2022-5-1 12:40:00,5000,0,0
2022-5-1 12:45:00,5000,0,0
2022-5-1 12:50:00,5000,0,0
2022-5-1 12:55:00,5000,0,0
2022-5-1 13:00:00,5000,0,0
2022-5-1 13:05:00,5000,0,0
2022-5-1 13:10:00,5000,0,0
2022-5-1 13:15:00,5000,0,0
2022-5-1 13:20:00,5000,0,0
2022-5-1 13:25:00,5000,0,0
2022-5-1 13:30:00,5000,0,0
2022-5-1 13:35:00,5000,0,0
2022-5-1 13:40:00,5000,0,0
2022-5-1 13:45:00,5000,0,0
2022-5-1 13:50:00,5000,0,0
2022-5-1 13:55:00,5000,0,0
2022-5-1 14:00:00,5000,0,0
2022-5-1 14:05:00,5000,0,0
2022-5-1 14:10:00,5000,0,0
2022-5-1 14:15:00,5000,0,0
2022-5-1 14:20:00,5000,0,0
2022-5-1 14:25:00,5000,0,0
2022-5-1 14:30:00,5000,0,0
2022-5-1 14:35:00,5000,0,0
2022-5-1 14:40:00,5000,0,0
2022-5-1 14:45:00,5000,0,0
2022-5-1 14:50:00,5000,0,0
2022-5-1 14:55:00,5000,0,0
2022-5-1 15:00:00,5000,0,0
2022-5-1 15:05:00,5000,0,0
2022-5-1 15:10:00,5000,0,0
2022-5-1 15:15:00,5000,0,0
2022-5-1 15:20:00,5000,0,0
2022-5-1 15:25:00,5000,0,0
2022-5-1 15:30:00,5000,0,0
2022-5-1 15:35:00,5000,0,0
2022-5-1 15:40:00,5000,0,0
2022-5-1 15:45:00,5000,0,0
2022-5-1 15:50:00,5000,0,0
2022-5-1 15:55:00,5000,0,0
2022-5-1 16:00:00,5000,0,0
2022-5-1 16:05:00,5000,0,0
2022-5-1 16:10:00,5000,0,0
2022-5-1 16:15:00,5000,0,0
2022-5-1 16:20:00,5000,0,0
2022-5-1 16:25:00,5000,0,0
2022-5-1 16:30:00,5000,0,0
2022-5-1 16:35:00,5000,0,0
2022-5-1 16:40:00,5000,0,0
2022-5-1 16:45:00,5000,0,0
2022-5-1 16:50:00,5000,0,0
2022-5-1 16:55:00,5000,0,0
2022-5-1 17:00:00,5000,0,0
2022-5-1 17:05:00,5000,0,0
2022-5-1 17:10:00,5000,0,0
2022-5-1 17:15:00,5000,0,0
2022-5-1 17:20:00,5000,0,0
2022-5-1 17:25:00,5000,0,0
2022-5-1 17:30:00,5000,0,0
2022-5-1 17:35:00,5000,0,0
2022-5-1 17:40:00,5000,0,0
2022-5-1 17:45:00,5000,0,0
2022-5-1 17:50:00,5000,0,0
2022-5-1 17:55:00,5000,0,0
2022-5-1 18:00:00,5000,0,0
2022-5-1 18:05:00,5000,0,0
2022-5-1 18:10:00,5000,0,0
2022-5-1 18:15:00,5000,0,0
2022-5-1 18:20:00,5000,0,0
2022-5-1 18:25:00,5000,0,0
2022-5-1 18:30:00,5000,0,0
2022-5-1 18:35:00,5000,0,0
2022-5-1 18:40:00,5000,0,0
2022-5-1 18:45:00,5000,0,0
2022-5-1 18:50:00,5000,0,0
2022-5-1 18:55:00,5000,0,0
2022-5-1 19:00:00,5000,0,0
2022-5-1 19:05:00,5000,0,0
2022-5-1 19:10:00,5000,0,0
2022-5-1 19:15:00,5000,0,0
2022-5-1 19:20:00,5000,0,0
2022-5-1 19:25:00,5000,0,0
2022-5-1 19:30:00,5000,0,0
2022-5-1 19:35:00,5000,0,0
2022-5-1 19:40:00,5000,0,0
2022-5-1 19:45:00,5000,0,0
2022-5-1 19:50:00,5000,0,0
2022-5-1 19:55:00,5000,0,0
2022-5-1 20:00:00,5000,0,0
2022-5-1 20:05:00,5000,0,0
2022-5-1 20:10:00,5000,0,0
2022-5-1 20:15:00,5000,0,0
2022-5-1 20:20:00,5000,0,0
2022-5-1 20:25:00,5000,0,0
2022-5-1 20:30:00,5000,0,0
2022-5-1 20:35:00,5000,0,0
2022-5-1 20:40:00,5000,0,0
2022-5-1 20:45:00,5000,0,0
2022-5-1 20:50:00,5000,0,0
2022-5-1 20:55:00,5000,0,0
2022-5-1 21:00:00,5000,0,0
2022-5-1 21:05:00,5000,0,0
2022-5-1 21:10:00,5000,0,0
2022-5-1 21:15:00,5000,0,0
2022-5-1 21:20:00,5000,0,0
2022-5-1 21:25:00,5000,0,0
2022-5-1 21:30:00,5000,0,0
2022-5-1 21:35:00,5000,0,0
2022-5-1 21:40:00,5000,0,0
2022-5-1 21:45:00,5000,0,0
2022-5-1 21:50:00,5000,0,0
2022-5-1 21:55:00,5000,0,0
2022-5-1 22:00:00,5000,0,0
2022-5-1 22:05:00,5000,0,0
2022-5-1 22:10:00,5000,0,0
2022-5-1 22:15:00,5000,0,0
2022-5-1 22:20:00,5000,0,0
2022-5-1 22:25:00,5000,0,0
2022-5-1 22:30:00,5000,0,0
2022-5-1 22:35:00,5000,0,0
2022-5-1 22:40:00,5000,0,0
2022-5-1 22:45:00,5000,0,0
2022-5-1 22:50:00,5000,0,0
2022-5-1 22:55:00,5000,0,0
2022-5-1 23:00:00,5000,0,0
2022-5-1 23:05:00,5000,0,0
2022-5-1 23:10:00,5000,0,0
2022-5-1 23:15:00,5000,0,0
2022-5-1 23:20:00,5000,0,0
2022-5-1 23:25:00,5000,0,0
2022-5-1 23:30:00,5000,0,0
2022-5-1 23:35:00,5000,0,0
2022-5-1 23:40:00,5000,0,0
2022-5-1 23:45:00,5000,0,0
2022-5-1 23:50:00,5000,0,0
2022-5-1 23:55:00,5000,0,0
2022-5-2 0:00:00,5000,0,0
2022-5-2 0:05:00,5000,0,0
2022-5-2 0:10:00,5000,0,0
2022-5-2 0:15:00,5000,0,0
2022-5-2 0:20:00,5000,0,0
2022-5-2 0:25:00,5000,0,0
2022-5-2 0:30:00,5000,0,0
2022-5-2 0:35:00,5000,0,0
2022-5-2 0:40:00,5000,0,0
2022-5-2 0:45:00,5000,0,0
2022-5-2 0:50:00,5000,0,0
2022-5-2 0:55:00,5000,0,0
2022-5-2 1:00:00,5000,0,0
2022-5-2 1:05:00,5000,0,0
2022-5-2 1:10:00,5000,0,0
2022-5-2 1:15:00,5000,0,0
2022-5-2 1:20:00,5000,0,0
2022-5-2 1:25:00,5000,0,0
2022-5-2 1:30:00,5000,0,0
2022-5-2 1:35:00,5000,0,0
2022-5-2 1:40:00,5000,0,0
2022-5-2 1:45:00,5000,0,0
2022-5-2 1:50:00,5000,0,0
2022-5-2 1:55:00,5000,0,0
2022-5-2 2:00:00,5000,0,0
2022-5-2 2:05:00,5000,0,0
2022-5-2 2:10:00,5000,0,0
2022-5-2 2:15:00,5000,0,0
2022-5-2 2:20:00,5000,0,0
2022-5-2 2:25:00,5000,0,0
2022-5-2 2:30:00,5000,0,0
2022-5-2 2:35:00,5000,0,0
2022-5-2 2:40:00,5000,0,0
2022-5-2 2:45:00,5000,0,0
2022-5-2 2:50:00,5000,0,0
2022-5-2 2:55:00,5000,0,0
2022-5-2 3:00:00,5000,0,0
2022-5-2 3:05:00,5000,0,0
2022-5-2 3:10:00,5000,0,0
2022-5-2 3:15:00,5000,0,0
2022-5-2 3:20:00,5000,0,0
2022-5-2 3:25:00,5000,0,0
2022-5-2 3:30:00,5000,0,0
2022-5-2 3:35:00,5000,0,0
2022-5-2 3:40:00,5000,0,0
2022-5-2 3:45:00,5000,0,0
2022-5-2 3:50:00,5000,0,0
2022-5-2 3:55:00,5000,0,0
2022-5-2 4:00:00,5000,0,0
2022-5-2 4:05:00,5000,0,0
2022-5-2 4:10:00,5000,0,0
2022-5-2 4:15:00,5000,0,0
2022-5-2 4:20:00,5000,0,0
2022-5-2 4:25:00,5000,0,0
